time,event_type,event_id,username,source_ip,destination_ip,destination_port,process
2026-09-16 09:15:02,AUTH_SUCCESS,4624,alice,10.0.0.30,,,,
2026-09-16 09:22:41,AUTH_SUCCESS,4624,alice,10.0.0.30,,,,
2026-09-16 10:01:12,AUTH_FAILED,4625,john,10.0.0.25,,,,
2026-09-16 10:01:18,AUTH_FAILED,4625,john,10.0.0.25,,,,
2026-09-16 10:01:25,AUTH_FAILED,4625,john,10.0.0.25,,,,
2026-09-16 10:01:32,AUTH_SUCCESS,4624,john,10.0.0.25,,,,
2026-09-16 10:03:10,POWERSHELL,,john,10.0.0.25,,,powershell.exe
2026-09-16 10:05:20,NETWORK_CONNECTION,,john,10.0.0.25,10.0.0.10,445,
2026-09-16 11:03:14,AUTH_FAILED,4625,david,10.0.0.50,,,,
2026-09-16 11:03:21,AUTH_FAILED,4625,david,10.0.0.50,,,,
2026-09-16 11:03:29,AUTH_FAILED,4625,david,10.0.0.50,,,,
2026-09-16 11:03:35,AUTH_SUCCESS,4624,david,10.0.0.50,,,,
2026-09-16 11:04:02,POWERSHELL,,david,10.0.0.50,,,powershell.exe
2026-09-16 11:05:02,NETWORK_CONNECTION,,david,10.0.0.50,10.0.0.10,445,
2026-09-16 11:05:40,NETWORK_CONNECTION,,david,10.0.0.50,10.0.0.20,3389,
2026-09-16 02:14:03,AUTH_SUCCESS,4624,david,10.0.0.50,,,,
2026-09-16 14:20:10,AUTH_SUCCESS,4624,michael,10.0.0.40,,,,
2026-09-16 14:25:17,NETWORK_CONNECTION,,michael,10.0.0.40,10.0.0.50,443,
